epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.1864,2.98557,7.39576,2.2857,0.00203,0.07311,0.00093,0.00013,3.60864,6.23458,2.97848,0.000332642,0.000332642,0.0670685
2,148.888,2.86427,4.60574,2.23436,0.00072,0.14661,0.00042,0.00014,3.31912,9.31257,2.7965,0.00066158,0.00066158,0.0340641
3,216.833,2.83146,4.49363,2.15308,0.70179,0.04825,0.01111,0.00306,2.89842,6.26647,2.10764,0.000986118,0.000986118,0.00105527
4,287.261,2.75418,4.13414,2.12448,0.07709,0.03802,0.01232,0.00185,3.00033,6.81949,2.24238,0.0009802,0.0009802,0.0009802
5,357.768,2.7131,3.96803,2.09428,0.00734,0.14297,0.00335,0.00096,2.95182,6.53181,2.18548,0.0009736,0.0009736,0.0009736
6,427.852,2.53786,3.76345,1.99483,0.00297,0.02688,0.00131,0.00022,3.14718,6.75435,2.41255,0.000967,0.000967,0.000967
7,497.243,2.59666,3.64323,2.01429,0.00072,0.1041,0.00045,9e-05,3.07675,6.06562,2.42203,0.0009604,0.0009604,0.0009604
8,565.54,2.55324,3.55058,2.03133,0.49467,0.07476,0.0541,0.02162,2.99478,5.73787,2.16018,0.0009538,0.0009538,0.0009538
9,633.969,2.56846,3.53965,2.00243,0.00541,0.16068,0.00304,0.00086,2.84055,6.20847,2.10985,0.0009472,0.0009472,0.0009472
10,702.156,2.52366,3.3352,1.971,0.00345,0.12164,0.0023,0.00065,2.96863,6.25689,2.16212,0.0009406,0.0009406,0.0009406
11,770.271,2.47139,3.19847,1.9314,0.38314,0.06713,0.01093,0.00256,3.32617,6.05913,2.46626,0.000934,0.000934,0.000934
12,838.972,2.43384,3.14905,1.92787,0.33949,0.00877,0.00056,9e-05,3.10871,6.87288,2.28,0.0009274,0.0009274,0.0009274
13,907.388,2.41818,3.02174,1.91446,0.0024,0.07693,0.00037,0.0001,2.87181,5.92519,2.15496,0.0009208,0.0009208,0.0009208
14,976.134,2.40744,2.96798,1.91611,0.00249,0.13653,0.00113,0.00025,3.13422,6.25322,2.31378,0.0009142,0.0009142,0.0009142
15,1044.77,2.36173,2.93923,1.89026,0.00699,0.10869,0.00778,0.00176,3.00728,6.33245,2.22382,0.0009076,0.0009076,0.0009076
16,1113.3,2.3054,2.76196,1.86634,0.00087,0.04128,0.00017,4e-05,3.02521,5.96509,2.29607,0.000901,0.000901,0.000901
17,1181.62,2.30876,2.78882,1.87074,0.00211,0.07148,0.0004,8e-05,3.05416,6.41643,2.21936,0.0008944,0.0008944,0.0008944
18,1249.83,2.307,2.70182,1.85272,0.01505,0.05252,0.00383,0.00128,3.03585,5.97836,2.27754,0.0008878,0.0008878,0.0008878
19,1318.07,2.27682,2.70191,1.81744,0.00211,0.06791,0.00633,0.00105,2.9935,6.65498,2.30018,0.0008812,0.0008812,0.0008812
20,1386.55,2.25087,2.53287,1.81512,0.02163,0.03201,0.00242,0.00034,2.88195,6.01277,2.14283,0.0008746,0.0008746,0.0008746
21,1454.77,2.21022,2.47115,1.77092,0.06547,0.00513,0.00209,0.00023,2.85492,6.29937,2.15459,0.000868,0.000868,0.000868
22,1523.08,2.22418,2.40219,1.79769,0.03465,0.03346,0.00602,0.00129,2.93632,6.23511,2.19472,0.0008614,0.0008614,0.0008614
23,1591.52,2.21611,2.46488,1.79693,0.07999,0.01857,0.01102,0.00172,2.96194,6.15786,2.23779,0.0008548,0.0008548,0.0008548
24,1659.13,2.19575,2.45679,1.78175,0.07381,0.0408,0.01374,0.00249,2.95096,5.87886,2.22306,0.0008482,0.0008482,0.0008482
25,1727.28,2.13569,2.26279,1.73881,0.105,0.04789,0.02604,0.00572,2.87815,6.16926,2.16053,0.0008416,0.0008416,0.0008416
26,1795.54,2.15823,2.31144,1.75263,0.00442,0.07452,0.00229,0.00041,3.1087,6.3253,2.39296,0.000835,0.000835,0.000835
27,1863.77,2.15414,2.31073,1.75767,0.1139,0.01816,0.01857,0.00452,2.84757,6.17554,2.12979,0.0008284,0.0008284,0.0008284
28,1931.86,2.13655,2.25204,1.75349,0.00145,0.04835,0.00038,7e-05,3.04046,6.23932,2.2192,0.0008218,0.0008218,0.0008218
29,2000,2.11235,2.21934,1.72163,0.00507,0.09932,0.00157,0.00022,3.10634,6.41854,2.4052,0.0008152,0.0008152,0.0008152
30,2068.24,2.0394,2.05853,1.71589,0.00654,0.1447,0.0049,0.00111,2.91339,6.0706,2.29658,0.0008086,0.0008086,0.0008086
31,2135.99,2.09317,2.0981,1.72016,0.12717,0.03142,0.01913,0.00343,2.91257,5.87727,2.23592,0.000802,0.000802,0.000802
32,2203.61,2.07501,2.12188,1.69053,0.01039,0.14144,0.00557,0.00107,2.84552,5.85994,2.18616,0.0007954,0.0007954,0.0007954
33,2271.46,2.03711,2.10019,1.70797,0.28969,0.1174,0.08037,0.02069,2.91742,5.45167,2.15664,0.0007888,0.0007888,0.0007888
34,2339.08,2.04719,2.00966,1.67284,0.00687,0.11644,0.00184,0.0003,3.09217,6.2048,2.3754,0.0007822,0.0007822,0.0007822
35,2406.74,2.03779,1.97129,1.66449,0.05153,0.02639,0.00744,0.00252,2.94535,5.83816,2.23361,0.0007756,0.0007756,0.0007756
36,2474.53,2.02186,1.99171,1.65765,0.02094,0.01539,0.00427,0.00084,2.78749,5.20725,2.09896,0.000769,0.000769,0.000769
37,2542.3,1.9354,1.86665,1.60089,0.09063,0.04007,0.01865,0.00518,2.96656,5.75883,2.32846,0.0007624,0.0007624,0.0007624
38,2610.46,1.96397,1.94575,1.6165,0.04647,0.03176,0.00795,0.00248,2.91574,5.59069,2.21101,0.0007558,0.0007558,0.0007558
39,2678.73,1.92715,1.80783,1.59743,0.17603,0.07502,0.07716,0.02403,2.7938,5.32146,2.10846,0.0007492,0.0007492,0.0007492
40,2746.65,1.97197,1.93373,1.63055,0.10703,0.03201,0.01667,0.00451,2.92833,6.17852,2.25825,0.0007426,0.0007426,0.0007426
41,2814.56,1.89247,1.77307,1.57744,0.12496,0.05083,0.02692,0.0141,3.0054,5.54898,2.32233,0.000736,0.000736,0.000736
42,2882.45,1.94425,1.86441,1.60556,0.15216,0.05889,0.04053,0.01523,2.64607,5.64418,2.04156,0.0007294,0.0007294,0.0007294
43,2950.23,1.92595,1.84116,1.58493,0.05629,0.02932,0.01105,0.00352,2.7137,5.85608,2.10274,0.0007228,0.0007228,0.0007228
44,3018.14,1.93043,1.76453,1.59121,0.03391,0.03537,0.00844,0.00338,2.80313,5.79208,2.18136,0.0007162,0.0007162,0.0007162
45,3086.07,1.92871,1.77268,1.59254,0.00871,0.09599,0.00666,0.00178,3.02781,6.09288,2.46417,0.0007096,0.0007096,0.0007096
46,3154.09,1.87583,1.71574,1.56367,0.13467,0.06292,0.03093,0.005,3.01646,5.25465,2.45437,0.000703,0.000703,0.000703
47,3222.16,1.87991,1.73079,1.5524,0.27405,0.0514,0.04971,0.01385,2.85454,5.55494,2.22506,0.0006964,0.0006964,0.0006964
48,3290.58,1.90183,1.70246,1.60041,0.30264,0.11108,0.07483,0.01865,3.02921,5.05632,2.30833,0.0006898,0.0006898,0.0006898
49,3358.23,1.87616,1.66978,1.55681,0.13021,0.07502,0.04384,0.01662,2.63899,5.2598,2.06984,0.0006832,0.0006832,0.0006832
50,3425.84,1.90203,1.68779,1.57583,0.20577,0.06225,0.05344,0.01705,2.96861,5.3059,2.32256,0.0006766,0.0006766,0.0006766
51,3493.13,1.81938,1.59015,1.53148,0.2516,0.06671,0.0599,0.01672,2.95667,5.83469,2.35039,0.00067,0.00067,0.00067
52,3560.55,1.81551,1.66414,1.54134,0.20265,0.05596,0.04582,0.00737,2.95269,5.86173,2.34573,0.0006634,0.0006634,0.0006634
53,3628.15,1.81094,1.61221,1.55522,0.19837,0.07421,0.03471,0.01076,2.92947,5.24176,2.28555,0.0006568,0.0006568,0.0006568
54,3695.67,1.81555,1.56496,1.54378,0.30962,0.06964,0.06869,0.01954,2.96466,5.51115,2.3165,0.0006502,0.0006502,0.0006502
55,3763.05,1.80544,1.59567,1.52451,0.1708,0.06427,0.04321,0.0152,2.97845,5.75558,2.39879,0.0006436,0.0006436,0.0006436
56,3830.57,1.82104,1.53493,1.5219,0.08415,0.03201,0.01895,0.00653,2.87347,5.55251,2.2661,0.000637,0.000637,0.000637
57,3898.1,1.79194,1.55431,1.50143,0.17325,0.05108,0.04855,0.01968,2.99082,5.38233,2.39904,0.0006304,0.0006304,0.0006304
58,3965.56,1.79071,1.59382,1.51837,0.03838,0.03222,0.00989,0.00289,2.81175,5.68541,2.19605,0.0006238,0.0006238,0.0006238
59,4033.04,1.81335,1.54731,1.528,0.17093,0.05864,0.04743,0.00928,3.07459,5.58772,2.56137,0.0006172,0.0006172,0.0006172
60,4100.41,1.76956,1.46455,1.47509,0.1045,0.10133,0.02281,0.00577,2.89503,5.26216,2.25055,0.0006106,0.0006106,0.0006106
61,4168.01,1.74267,1.4574,1.46679,0.01105,0.12793,0.00579,0.00106,3.03316,5.86173,2.38401,0.000604,0.000604,0.000604
62,4235.69,1.76662,1.4997,1.49295,0.16783,0.05062,0.03524,0.01134,2.86254,5.50912,2.26152,0.0005974,0.0005974,0.0005974
63,4303.25,1.73025,1.42605,1.48349,0.02619,0.03748,0.00603,0.00167,2.75887,5.75534,2.2625,0.0005908,0.0005908,0.0005908
64,4370.45,1.73633,1.47781,1.47925,0.12688,0.05263,0.02515,0.0056,2.84503,5.74596,2.27402,0.0005842,0.0005842,0.0005842
65,4437.94,1.74859,1.45413,1.49179,0.18392,0.07622,0.04263,0.01168,2.91185,5.54864,2.23521,0.0005776,0.0005776,0.0005776
66,4505.31,1.72114,1.41397,1.47819,0.14704,0.04373,0.02967,0.00885,2.858,5.70891,2.25015,0.000571,0.000571,0.000571
