epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.49476,2.92268,19.1576,2.40758,0,0,0,0,2.76132,14.0498,2.29185,0.00035725,0.00035725,0.00035725
2,9.13639,3.34943,19.5421,2.46147,0,0,0,0,2.76132,14.0498,2.29185,0.000830833,0.000830833,0.000830833
3,9.80278,3.67014,24.6538,2.55683,0,0,0,0,2.76132,14.0498,2.29185,0.00130127,0.00130127,0.00130127
4,10.5632,3.84944,17.6984,3.03212,0,0,0,0,2.8503,13.129,2.32601,0.00141485,0.00141485,0.00141485
5,11.2064,3.48739,17.7936,2.85206,0,0,0,0,2.8503,13.129,2.32601,0.00141014,0.00141014,0.00141014
6,11.7987,3.15299,20.22,2.46577,0,0,0,0,2.8503,13.129,2.32601,0.00140542,0.00140542,0.00140542
7,12.3725,3.35458,15.7921,2.45911,0,0,0,0,2.8503,13.129,2.32601,0.00140071,0.00140071,0.00140071
8,13.0991,3.35048,20.4422,2.39876,0,0,0,0,2.64119,13.7757,2.22271,0.00139599,0.00139599,0.00139599
9,13.8614,3.36891,21.9427,2.54501,0,0,0,0,2.64119,13.7757,2.22271,0.00139127,0.00139127,0.00139127
10,14.5912,3.19622,22.8645,2.11861,0,0,0,0,2.64119,13.7757,2.22271,0.00138656,0.00138656,0.00138656
11,15.3419,3.4344,34.1131,2.59881,0,0,0,0,2.64119,13.7757,2.22271,0.00138184,0.00138184,0.00138184
12,16.191,3.54507,19.6639,2.6553,0,0,0,0,2.57578,14.3458,2.169,0.00137713,0.00137713,0.00137713
13,16.5264,3.17013,19.4033,2.39713,0,0,0,0,2.57578,14.3458,2.169,0.00137241,0.00137241,0.00137241
14,17.3859,3.45733,29.486,2.58919,0,0,0,0,2.57578,14.3458,2.169,0.0013677,0.0013677,0.0013677
15,18.23,3.00601,15.5588,2.32877,0,0,0,0,2.57578,14.3458,2.169,0.00136298,0.00136298,0.00136298
16,19.1214,2.42966,14.4393,1.97016,0,0,0,0,2.56117,13.6491,2.15554,0.00135826,0.00135826,0.00135826
17,19.9513,3.49556,20.3915,3.04031,0,0,0,0,2.56117,13.6491,2.15554,0.00135355,0.00135355,0.00135355
18,20.8363,3.57601,35.4005,2.8586,0,0,0,0,2.56117,13.6491,2.15554,0.00134883,0.00134883,0.00134883
19,21.7213,3.32422,14.6461,2.95431,0,0,0,0,2.72166,13.8439,2.2184,0.00134412,0.00134412,0.00134412
20,22.7165,3.07968,17.2005,2.45965,0,0,0,0,2.72166,13.8439,2.2184,0.0013394,0.0013394,0.0013394
21,23.6068,3.10423,17.3541,2.44061,0,0,0,0,2.72166,13.8439,2.2184,0.00133469,0.00133469,0.00133469
