epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.91657,4.4062,79.5907,2.49627,0,0,0,0,5.91009,88.6633,3.62968,0.000333333,0.000333333,0.000333333
2,5.82864,5.24865,86.065,2.98994,0,0,0,0,5.91009,88.6633,3.62968,0.00073515,0.00073515,0.00073515
3,6.74292,5.11158,55.6744,3.16191,0,0,0,0,5.91009,88.6633,3.62968,0.00112047,0.00112047,0.00112047
4,7.73175,4.67942,53.3547,2.52122,0,0,0,0,5.46538,72.8421,2.94245,0.00117575,0.00117575,0.00117575
5,8.6463,4.96529,62.1029,2.52276,0,0,0,0,5.46538,72.8421,2.94245,0.001151,0.001151,0.001151
6,9.55515,4.29819,60.7106,2.20411,0,0,0,0,5.46538,72.8421,2.94245,0.00112625,0.00112625,0.00112625
7,10.2655,5.29737,65.2769,2.7396,0,0,0,0,5.35972,70.2583,2.90204,0.0011015,0.0011015,0.0011015
8,10.9728,4.811,74.5047,2.31711,0,0,0,0,5.35972,70.2583,2.90204,0.00107675,0.00107675,0.00107675
9,11.6762,5.08609,59.7914,2.86259,0,0,0,0,5.35972,70.2583,2.90204,0.001052,0.001052,0.001052
10,12.346,4.73813,94.3653,2.50973,0,0,0,0,5.35408,72.8497,2.93294,0.00102725,0.00102725,0.00102725
11,12.997,4.61002,90.2327,2.31223,0,0,0,0,5.35408,72.8497,2.93294,0.0010025,0.0010025,0.0010025
12,13.629,3.45955,85.888,1.90562,0,0,0,0,5.35408,72.8497,2.93294,0.00097775,0.00097775,0.00097775
13,14.2621,4.57146,59.9893,2.25211,0,0,0,0,5.22688,69.2229,2.8983,0.000953,0.000953,0.000953
14,14.8983,3.81727,74.4205,2.16409,0,0,0,0,5.22688,69.2229,2.8983,0.00092825,0.00092825,0.00092825
15,15.5501,3.24265,69.3001,1.79652,0,0,0,0,5.22688,69.2229,2.8983,0.0009035,0.0009035,0.0009035
16,16.2264,4.52322,76.5089,2.26794,0,0,0,0,5.08668,69.6378,2.81828,0.00087875,0.00087875,0.00087875
17,16.8875,4.93407,82.5158,2.56307,0,0,0,0,5.08668,69.6378,2.81828,0.000854,0.000854,0.000854
18,17.5823,4.71913,49.3477,2.59815,0,0,0,0,5.08668,69.6378,2.81828,0.00082925,0.00082925,0.00082925
19,18.2807,4.59633,82.7816,2.57339,0,0,0,0,5.0989,70.6512,2.88507,0.0008045,0.0008045,0.0008045
