epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.98899,2.82921,81.3882,2.08604,0,0,0,0,2.34334,70.2068,2.00438,0.000381067,0.000381067,0.000381067
2,5.67673,2.43737,96.5306,1.72687,0,0,0,0,2.34334,70.2068,2.00438,0.000840423,0.000840423,0.000840423
3,6.37518,3.66328,57.2445,2.97237,0,0,0,0,2.34334,70.2068,2.00438,0.00128092,0.00128092,0.00128092
4,7.1765,3.77694,78.4144,2.41061,0,0,0,0,2.31968,65.3426,1.94818,0.00134412,0.00134412,0.00134412
5,7.8836,3.12609,84.4282,2.27061,0,0,0,0,2.31968,65.3426,1.94818,0.00131582,0.00131582,0.00131582
6,8.59187,3.5139,78.8942,2.71888,0,0,0,0,2.31968,65.3426,1.94818,0.00128753,0.00128753,0.00128753
7,9.4793,3.35275,64.797,2.35136,0,0,0,0,2.22366,69.6472,1.89679,0.00125923,0.00125923,0.00125923
8,10.3573,1.78142,111.505,1.0559,0,0,0,0,2.22366,69.6472,1.89679,0.00123094,0.00123094,0.00123094
9,11.2823,3.62339,67.4344,2.79294,0,0,0,0,2.22366,69.6472,1.89679,0.00120265,0.00120265,0.00120265
10,12.3159,3.54912,61.3492,2.94386,0,0,0,0,2.24457,66.6844,1.89603,0.00117435,0.00117435,0.00117435
11,13.3603,4.15386,51.9098,3.46962,0,0,0,0,2.24457,66.6844,1.89603,0.00114606,0.00114606,0.00114606
12,14.3354,2.79296,52.3258,2.3005,0,0,0,0,2.24457,66.6844,1.89603,0.00111776,0.00111776,0.00111776
13,15.432,3.11643,66.0486,2.52076,0,0,0,0,2.3045,65.9447,1.90589,0.00108947,0.00108947,0.00108947
14,16.5447,3.57406,66.4343,2.4468,0,0,0,0,2.3045,65.9447,1.90589,0.00106118,0.00106118,0.00106118
15,17.6159,2.38003,94.44,1.92713,0,0,0,0,2.3045,65.9447,1.90589,0.00103288,0.00103288,0.00103288
16,18.7124,3.65684,75.3296,2.56423,0,0,0,0,2.3204,69.1143,1.88239,0.00100459,0.00100459,0.00100459
17,19.7717,2.18899,86.2769,1.55645,0,0,0,0,2.3204,69.1143,1.88239,0.000976293,0.000976293,0.000976293
18,20.8576,3.80386,62.4502,2.65495,0,0,0,0,2.3204,69.1143,1.88239,0.000947999,0.000947999,0.000947999
19,22.0154,1.74644,76.6807,1.37726,0,0,0,0,2.34732,72.3701,1.93067,0.000919704,0.000919704,0.000919704
20,23.0767,2.63862,101.724,2.09516,0,0,0,0,2.34732,72.3701,1.93067,0.00089141,0.00089141,0.00089141
21,24.1606,2.61956,84.9218,1.99552,0,0,0,0,2.34732,72.3701,1.93067,0.000863116,0.000863116,0.000863116
22,25.2335,1.23949,105.117,1.07849,0,0,0,0,2.36325,72.3391,1.97802,0.000834822,0.000834822,0.000834822
23,26.2999,2.36427,91.8205,1.80927,0,0,0,0,2.36325,72.3391,1.97802,0.000806528,0.000806528,0.000806528
24,27.4056,2.85293,103.706,2.24424,0,0,0,0,2.36325,72.3391,1.97802,0.000778233,0.000778233,0.000778233
25,28.4821,4.15707,89.913,2.95503,0,0,0,0,2.34786,72.856,1.98754,0.000749939,0.000749939,0.000749939
26,29.5721,3.86949,62.6442,3.0147,0,0,0,0,2.34786,72.856,1.98754,0.000721645,0.000721645,0.000721645
27,30.6276,3.11032,88.8122,2.28383,0,0,0,0,2.34786,72.856,1.98754,0.000693351,0.000693351,0.000693351
28,31.8512,3.54135,52.1086,2.82743,0,0,0,0,2.01783,76.5418,1.60464,0.000665057,0.000665057,0.000665057
29,33.1138,2.59044,79.1067,1.96095,0,0,0,0,2.01783,76.5418,1.60464,0.000636762,0.000636762,0.000636762
30,34.3681,3.30754,42.7518,2.94335,0,0,0,0,2.01783,76.5418,1.60464,0.000608468,0.000608468,0.000608468
31,35.5371,2.93007,51.6941,2.31108,0,0,0,0,1.53217,68.6729,1.30222,0.000580174,0.000580174,0.000580174
32,36.7488,2.16442,74.8722,1.30863,0,0,0,0,1.53217,68.6729,1.30222,0.00055188,0.00055188,0.00055188
33,37.9715,3.09766,43.6639,2.17955,0,0,0,0,1.53217,68.6729,1.30222,0.000523586,0.000523586,0.000523586
34,39.3165,1.78692,83.4382,1.44908,0,0,0,0,1.48894,62.1287,1.1985,0.000495291,0.000495291,0.000495291
35,40.5237,2.24942,53.1675,1.66993,0,0,0,0,1.48894,62.1287,1.1985,0.000466997,0.000466997,0.000466997
36,41.7358,2.18103,52.0918,1.66527,0,0,0,0,1.48894,62.1287,1.1985,0.000438703,0.000438703,0.000438703
37,42.8936,2.7572,30.3425,2.01915,0,0,0,0,1.27648,60.8429,1.016,0.000410409,0.000410409,0.000410409
38,44.0127,1.36144,60.1437,1.02179,0,0,0,0,1.27648,60.8429,1.016,0.000382115,0.000382115,0.000382115
39,45.1508,1.60662,55.9557,1.38127,0,0,0,0,1.27648,60.8429,1.016,0.00035382,0.00035382,0.00035382
40,46.3017,1.76249,61.6385,1.29021,0,0,0,0,1.34716,59.1424,1.14144,0.000325526,0.000325526,0.000325526
41,48.0367,2.17715,68.2938,1.57455,0,0,0,0,1.34716,59.1424,1.14144,0.000297232,0.000297232,0.000297232
42,49.2996,2.14455,46.7953,1.82224,0,0,0,0,1.34716,59.1424,1.14144,0.000268938,0.000268938,0.000268938
43,50.6746,1.51564,66.3838,1.27517,0,0,0,0,1.19761,57.2255,1.05697,0.000240644,0.000240644,0.000240644
44,51.8666,1.05936,62.7355,1.00762,0,0,0,0,1.19761,57.2255,1.05697,0.000212349,0.000212349,0.000212349
45,53.1007,1.43189,78.2224,0.92334,0,0,0,0,1.19761,57.2255,1.05697,0.000184055,0.000184055,0.000184055
46,54.2955,1.63542,51.991,1.25823,0,0,0,0,1.12763,58.0602,1.01506,0.000155761,0.000155761,0.000155761
47,55.4744,1.02618,62.8625,0.90652,0,0,0,0,1.12763,58.0602,1.01506,0.000127467,0.000127467,0.000127467
48,56.594,1.91213,78.546,1.2658,0,0,0,0,1.12763,58.0602,1.01506,9.91726e-05,9.91726e-05,9.91726e-05
49,57.8586,2.31024,62.4627,1.61993,0,0,0,0,1.12466,58.9679,0.97659,7.08784e-05,7.08784e-05,7.08784e-05
50,59.1011,1.54495,51.103,1.28766,0,0,0,0,1.12466,58.9679,0.97659,4.25842e-05,4.25842e-05,4.25842e-05
